Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.07724257,-0.046162434,-0.048142083,-0.0075651156,-0.11486317
0.03491569,0.016101442,0.025248967,0.045706015,-0.029584479
-0.031863373,-0.07628933,-0.13045725,-0.008462544,-0.0056524333
-0.091112815,-0.064335346,-0.13364488,-0.08606363,-0.019577902
-0.033638835,-0.0013145925,-0.005972593,0.04833331,0.000756721
-0.0015353868,-0.05036114,-0.008193015,0.046291314,0.061043456
0.0026539117,-0.0012920052,-0.06239957,0.018151768,0.031120533
0.02216266,0.0102073755,0.01969317,0.0056801224,-0.044807613
0.05420376,0.055622652,0.010312241,0.025976453,0.057732567
0.044844054,-0.03643868,-0.083045915,0.03375019,0.063062266
-0.030576508,-0.03668923,-0.05387392,-0.06166492,0.018670084
0.07187955,-0.032088406,0.109441906,0.04515542,0.12734628
-0.21465561,-0.14229733,-0.14668842,-0.11742462,-0.30333441
-0.081395306,-0.03408864,-0.04876441,-0.06800202,-0.020639876
0.017015632,-0.048262805,0.0032594455,0.018679606,0.016080802
-0.24894768,-0.16736394,-0.20728949,-0.17537168,-0.23445216
0.06991465,-0.012825646,-0.05427274,-0.037240885,0.008230198
0.11311391,0.062312193,0.11639859,0.0919411,0.05613967
0.00481641,-0.050688215,0.014690942,-0.02608633,0.053625967
0.043541633,0.036620613,0.08181727,0.035227343,-0.0004899893
0.050989904,0.01103039,-0.032299057,-0.0069823302,0.008108586
-0.093688644,-0.03173207,0.015058875,0.042531233,0.008704593
0.10544452,0.0046664486,0.11309211,0.056152616,0.12326445
-0.014435114,-0.07791588,-0.057726473,-0.071604304,-0.0202333
0.012586123,-0.0035502557,-0.05743156,0.026132084,-0.041213945
0.105745666,0.0143240215,0.0497348,0.02881023,-0.0016572345
0.014877144,-0.11446681,-0.05194533,-0.051518865,0.03037101
0.105761714,-0.05212247,0.15197627,0.06771648,0.10776736
0.11252393,0.023053126,0.0020285184,-0.018073142,0.090279214
0.031761777,0.04333846,0.043263257,-0.0066907387,0.034236684
0.012021561,0.03421315,0.007179294,-0.023997862,0.07149631
0.033061136,-0.08550548,-0.021978939,-0.008501656,0.07074756
0.08545927,0.0036739241,0.083916724,-0.026469689,0.05246879
0.04165814,-0.044040445,0.049646877,-0.0064883986,-0.0201735
0.06490113,-0.025301643,0.03487975,-0.0026929164,0.07885221
-0.06340378,-0.05861581,-0.015610707,-0.021114457,0.020135619
-0.05832621,-0.10570632,-0.10577481,-0.02231066,-0.09006929
-1.9352883e-06,-0.026686706,0.017824557,-0.02508823,-0.04910709
0.037309453,0.007157931,0.09833692,-0.013266251,-0.023760395
-0.018758891,-0.0026675686,0.0044435463,0.03827529,-0.013646442
0.047878,-0.019114956,-0.07027363,-0.0094611915,-0.048043773
