,Care_intensity,Fairness_intensity,Loyalty_intensity,Authority_intensity,Sanctity_intensity,Care_bias,Fairness_bias,Loyalty_bias,Authority_bias,Sanctity_bias
C,0.003707745688543215,-0.021646237277797502,0.0001274601224623884,0.0516556440359488,-0.038356302572695296,0.03924196228300557,-0.06096787108338727,0.04147295793864619,-0.008505525654672419,0.07432879601716494
CL,0.0311725257843159,0.04958026981081141,-0.04578656875783873,-0.032953359160117546,0.00531990505729053,0.003353269521466833,0.09270361773394199,-0.13652816040738022,0.04352738795931271,-0.0024403635944969145
R,-0.034880271472859214,-0.027934032533013957,0.0456591086353763,-0.0187022848758312,0.03303639751540476,-0.04259523180447237,-0.03173574665055466,0.09505520246873415,-0.035021862304640314,-0.07188843242266803
