Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
-0.01887361,0.10060464,-0.03803997,-0.028396016,0.004261523
-0.049907193,0.08637778,0.036934625,0.08287544,0.074196175
-0.009083815,0.07922741,-0.07161186,0.003101578,0.057031635
0.019176533,0.13268897,0.01077066,0.02488266,0.016247477
0.0072451457,0.12266976,-0.005101759,0.04079674,0.042755276
0.022740055,0.053988345,-0.06409389,0.0051714587,0.0805787
0.014903894,-0.04262614,0.024563817,0.03256044,0.08428907
0.033095933,0.042283658,-0.04077047,0.09266147,0.10222522
-0.00871665,0.10194413,-0.018240333,-0.0060798433,-0.0065616965
-0.04878305,0.050644238,-0.124963254,-0.039540675,-0.0070819706
0.051031914,0.15400822,0.099802695,0.13492458,0.051718775
0.035622455,0.10972925,0.07994426,0.06657441,0.12474998
0.03055973,0.06221512,0.017936189,0.08495867,0.09879101
0.05794164,0.046660066,-0.013674793,0.10010138,0.043584403
0.084338814,0.11703559,0.18356213,0.0795646,0.08791623
0.030144807,0.11393171,0.16442624,0.034242485,0.31059822
0.09462026,0.083706096,0.0105128735,0.04961246,0.10522864
-0.11639005,0.0043029115,-0.10114772,0.035749335,0.11933392
-0.05453745,0.07997908,-0.026560474,0.047159877,0.038152516
0.046381384,0.12911002,0.10382953,0.06702816,0.045855597
0.1477327,-0.015019229,0.048680957,0.04148542,0.048641216
-0.11136803,-0.11603532,-0.0867928,-0.12765326,-0.19249737
0.08857697,-0.04895812,-0.0625066,-0.06594017,0.06293649
-0.11736901,-0.12637427,-0.14298831,-0.13928607,-0.050030287
